timestamp,address,rssi
1659312838137,50:d0:9a:e3:43:6a,-62
1659312838211,50:d0:9a:e3:43:6a,-60
1659312838279,50:d0:9a:e3:43:6a,-62
1659312838330,50:d0:9a:e3:43:6a,-62
1659312838411,50:d0:9a:e3:43:6a,-62
1659312838439,50:d0:9a:e3:43:6a,-62
1659312838468,50:d0:9a:e3:43:6a,-62
1659312838489,50:d0:9a:e3:43:6a,-65
1659312838572,50:d0:9a:e3:43:6a,-62
1659312838692,50:d0:9a:e3:43:6a,-65
1659312838717,50:d0:9a:e3:43:6a,-62
1659312838811,50:d0:9a:e3:43:6a,-62
1659312838833,50:d0:9a:e3:43:6a,-65
1659312838851,50:d0:9a:e3:43:6a,-62
1659312839013,50:d0:9a:e3:43:6a,-62
1659312839070,50:d0:9a:e3:43:6a,-70
1659312839093,50:d0:9a:e3:43:6a,-62
1659312839146,50:d0:9a:e3:43:6a,-62
1659312839184,50:d0:9a:e3:43:6a,-62
1659312839244,50:d0:9a:e3:43:6a,-62
1659312839263,50:d0:9a:e3:43:6a,-65
1659312839316,50:d0:9a:e3:43:6a,-62
1659312839334,50:d0:9a:e3:43:6a,-70
1659312839385,50:d0:9a:e3:43:6a,-61
1659312839416,50:d0:9a:e3:43:6a,-62
1659312839438,50:d0:9a:e3:43:6a,-65
1659312839510,50:d0:9a:e3:43:6a,-62
1659312839602,50:d0:9a:e3:43:6a,-61
1659312839660,50:d0:9a:e3:43:6a,-62
1659312839691,50:d0:9a:e3:43:6a,-64
1659312839704,50:d0:9a:e3:43:6a,-62
1659312839732,50:d0:9a:e3:43:6a,-62
1659312839762,50:d0:9a:e3:43:6a,-62
1659312839789,50:d0:9a:e3:43:6a,-64
1659312839896,50:d0:9a:e3:43:6a,-64
1659312839932,50:d0:9a:e3:43:6a,-61
1659312839958,50:d0:9a:e3:43:6a,-61
1659312840010,50:d0:9a:e3:43:6a,-64
1659312840034,50:d0:9a:e3:43:6a,-61
1659312840108,50:d0:9a:e3:43:6a,-64
1659312840132,50:d0:9a:e3:43:6a,-61
1659312840161,50:d0:9a:e3:43:6a,-61
1659312840218,50:d0:9a:e3:43:6a,-61
1659312840245,50:d0:9a:e3:43:6a,-62
1659312840267,50:d0:9a:e3:43:6a,-61
1659312840343,50:d0:9a:e3:43:6a,-64
1659312840364,50:d0:9a:e3:43:6a,-61
1659312840411,50:d0:9a:e3:43:6a,-61
1659312840444,50:d0:9a:e3:43:6a,-64
1659312840525,50:d0:9a:e3:43:6a,-61
1659312840568,50:d0:9a:e3:43:6a,-62
1659312840588,50:d0:9a:e3:43:6a,-63
1659312840609,50:d0:9a:e3:43:6a,-62
1659312840655,50:d0:9a:e3:43:6a,-64
1659312840681,50:d0:9a:e3:43:6a,-61
1659312840731,50:d0:9a:e3:43:6a,-67
1659312840753,50:d0:9a:e3:43:6a,-62
1659312840781,50:d0:9a:e3:43:6a,-60
1659312840805,50:d0:9a:e3:43:6a,-62
1659312840891,50:d0:9a:e3:43:6a,-64
1659312840921,50:d0:9a:e3:43:6a,-62
1659312841014,50:d0:9a:e3:43:6a,-61
1659312841032,50:d0:9a:e3:43:6a,-62
1659312841053,50:d0:9a:e3:43:6a,-61
1659312841083,50:d0:9a:e3:43:6a,-61
1659312841128,50:d0:9a:e3:43:6a,-62
1659312841153,50:d0:9a:e3:43:6a,-59
1659312841201,50:d0:9a:e3:43:6a,-59
1659312841246,50:d0:9a:e3:43:6a,-58
1659312841273,50:d0:9a:e3:43:6a,-59
1659312841296,50:d0:9a:e3:43:6a,-62
1659312841325,50:d0:9a:e3:43:6a,-58
1659312841356,50:d0:9a:e3:43:6a,-58
1659312841378,50:d0:9a:e3:43:6a,-60
1659312841406,50:d0:9a:e3:43:6a,-61
1659312841477,50:d0:9a:e3:43:6a,-62
1659312841491,50:d0:9a:e3:43:6a,-60
1659312841519,50:d0:9a:e3:43:6a,-60
1659312841539,50:d0:9a:e3:43:6a,-62
1659312841593,50:d0:9a:e3:43:6a,-59
1659312841618,50:d0:9a:e3:43:6a,-61
1659312841649,50:d0:9a:e3:43:6a,-61
1659312841668,50:d0:9a:e3:43:6a,-62
1659312841691,50:d0:9a:e3:43:6a,-60
1659312841722,50:d0:9a:e3:43:6a,-59
1659312841745,50:d0:9a:e3:43:6a,-60
1659312841793,50:d0:9a:e3:43:6a,-59
1659312841867,50:d0:9a:e3:43:6a,-61
1659312841891,50:d0:9a:e3:43:6a,-59
1659312841915,50:d0:9a:e3:43:6a,-60
1659312841939,50:d0:9a:e3:43:6a,-60
1659312841961,50:d0:9a:e3:43:6a,-62
1659312841992,50:d0:9a:e3:43:6a,-60
1659312842090,50:d0:9a:e3:43:6a,-61
1659312842116,50:d0:9a:e3:43:6a,-62
1659312842135,50:d0:9a:e3:43:6a,-62
1659312842160,50:d0:9a:e3:43:6a,-62
1659312842193,50:d0:9a:e3:43:6a,-63
1659312842218,50:d0:9a:e3:43:6a,-63
1659312842236,50:d0:9a:e3:43:6a,-62
1659312842260,50:d0:9a:e3:43:6a,-63
1659312842289,50:d0:9a:e3:43:6a,-65
1659312842312,50:d0:9a:e3:43:6a,-63
1659312842338,50:d0:9a:e3:43:6a,-63
1659312842393,50:d0:9a:e3:43:6a,-71
1659312842446,50:d0:9a:e3:43:6a,-67
1659312842474,50:d0:9a:e3:43:6a,-69
1659312842493,50:d0:9a:e3:43:6a,-71
1659312842548,50:d0:9a:e3:43:6a,-68
1659312842566,50:d0:9a:e3:43:6a,-73
1659312842675,50:d0:9a:e3:43:6a,-64
1659312842696,50:d0:9a:e3:43:6a,-73
1659312842726,50:d0:9a:e3:43:6a,-65
1659312842746,50:d0:9a:e3:43:6a,-63
1659312842767,50:d0:9a:e3:43:6a,-71
1659312842788,50:d0:9a:e3:43:6a,-64
1659312842806,50:d0:9a:e3:43:6a,-62
1659312842831,50:d0:9a:e3:43:6a,-70
1659312842851,50:d0:9a:e3:43:6a,-64
1659312842945,50:d0:9a:e3:43:6a,-63
1659312842982,50:d0:9a:e3:43:6a,-64
1659312843028,50:d0:9a:e3:43:6a,-68
1659312843053,50:d0:9a:e3:43:6a,-65
1659312843135,50:d0:9a:e3:43:6a,-72
1659312843155,50:d0:9a:e3:43:6a,-65
1659312843184,50:d0:9a:e3:43:6a,-65
1659312843241,50:d0:9a:e3:43:6a,-69
1659312843294,50:d0:9a:e3:43:6a,-66
1659312843315,50:d0:9a:e3:43:6a,-67
1659312843342,50:d0:9a:e3:43:6a,-67
1659312843375,50:d0:9a:e3:43:6a,-67
1659312843401,50:d0:9a:e3:43:6a,-66
1659312843420,50:d0:9a:e3:43:6a,-67
1659312843468,50:d0:9a:e3:43:6a,-67
1659312843524,50:d0:9a:e3:43:6a,-67
1659312843548,50:d0:9a:e3:43:6a,-69
1659312843593,50:d0:9a:e3:43:6a,-69
1659312843614,50:d0:9a:e3:43:6a,-69
1659312843664,50:d0:9a:e3:43:6a,-66
1659312843703,50:d0:9a:e3:43:6a,-66
1659312843734,50:d0:9a:e3:43:6a,-67
1659312843761,50:d0:9a:e3:43:6a,-72
1659312843811,50:d0:9a:e3:43:6a,-68
1659312843829,50:d0:9a:e3:43:6a,-73
1659312843924,50:d0:9a:e3:43:6a,-73
1659312843980,50:d0:9a:e3:43:6a,-71
1659312844085,50:d0:9a:e3:43:6a,-72
1659312844311,50:d0:9a:e3:43:6a,-73
1659312844371,50:d0:9a:e3:43:6a,-70
1659312844396,50:d0:9a:e3:43:6a,-70
1659312844414,50:d0:9a:e3:43:6a,-72
1659312844460,50:d0:9a:e3:43:6a,-78
1659312844481,50:d0:9a:e3:43:6a,-73
1659312844548,50:d0:9a:e3:43:6a,-75
1659312844611,50:d0:9a:e3:43:6a,-74
1659312844643,50:d0:9a:e3:43:6a,-72
1659312844809,50:d0:9a:e3:43:6a,-74
1659312844949,50:d0:9a:e3:43:6a,-71
1659312844968,50:d0:9a:e3:43:6a,-73
1659312845014,50:d0:9a:e3:43:6a,-68
1659312845036,50:d0:9a:e3:43:6a,-70
1659312845091,50:d0:9a:e3:43:6a,-70
1659312845111,50:d0:9a:e3:43:6a,-69
1659312845182,50:d0:9a:e3:43:6a,-71
1659312845208,50:d0:9a:e3:43:6a,-76
1659312845234,50:d0:9a:e3:43:6a,-75
1659312845282,50:d0:9a:e3:43:6a,-72
1659312845349,50:d0:9a:e3:43:6a,-71
1659312845394,50:d0:9a:e3:43:6a,-73
1659312845447,50:d0:9a:e3:43:6a,-69
1659312845496,50:d0:9a:e3:43:6a,-68
1659312845530,50:d0:9a:e3:43:6a,-68
1659312845548,50:d0:9a:e3:43:6a,-66
1659312845573,50:d0:9a:e3:43:6a,-69
1659312845608,50:d0:9a:e3:43:6a,-69
1659312845650,50:d0:9a:e3:43:6a,-65
