t,x,y,z,tx1,tx2,tx3,tx4,tx5,tx6,tx7,tx8,tx9,tx10,tx11,tx12,tx13,tx14,tx15,tx16,tx17,tx18,tx19,tx20,tx21,tx22,tx23,tx24,tx25
1667897334231.0,752.03,181.97,93.1,-58.0,-57.0,-62.0,-62.0,-61.0,-67.0,-64.0,-58.0,-69.0,-65.0,-68.0,-68.0,-68.0,-66.0,-70.0,-70.0,-72.0,-69.0,-71.0,-62.0,-55.0,-71.0,-255.0,-255.0,-255.0
1667897334569.0,727.19,110.51,101.65,-59.0,-53.0,-58.0,-64.0,-61.0,-66.0,-65.0,-73.0,-68.0,-67.0,-69.0,-70.0,-66.0,-48.0,-75.0,-71.0,-71.0,-68.0,-70.0,-66.0,-66.0,-59.0,-255.0,-255.0,-255.0
1667897334903.0,710.02,87.27,99.62,-44.0,-54.0,-53.0,-62.0,-58.0,-67.0,-54.0,-65.0,-72.0,-66.0,-66.0,-68.0,-68.0,-68.0,-71.0,-72.0,-72.0,-69.0,-66.0,-66.0,-61.0,-255.0,-255.0,-255.0,-65.0
1667897335242.0,679.21,47.32,95.07,-60.0,-52.0,-61.0,-62.0,-60.0,-67.0,-65.0,-67.0,-66.0,-65.0,-67.0,-65.0,-68.0,-64.0,-71.0,-75.0,-72.0,-61.0,-70.0,-54.0,-255.0,-62.0,-255.0,-255.0,-63.0
1667897335577.0,643.9,-11.93,101.16,-60.0,-51.0,-60.0,-62.0,-54.0,-65.0,-63.0,-64.0,-67.0,-67.0,-67.0,-65.0,-68.0,-67.0,-69.0,-75.0,-73.0,-61.0,-64.0,-255.0,-255.0,-67.0,-255.0,-255.0,-70.0
1667897335910.0,626.4,-19.5,96.57,-60.0,-50.0,-59.0,-63.0,-61.0,-65.0,-66.0,-67.0,-60.0,-65.0,-69.0,-71.0,-68.0,-69.0,-71.0,-70.0,-69.0,-67.0,-61.0,-69.0,-255.0,-255.0,-63.0,-255.0,-51.0
1667897336251.0,579.87,-64.33,99.22,-60.0,-47.0,-59.0,-62.0,-61.0,-67.0,-66.0,-65.0,-66.0,-66.0,-65.0,-69.0,-70.0,-42.0,-48.0,-59.0,-69.0,-62.0,-70.0,-76.0,-255.0,-64.0,-255.0,-255.0,-65.0
1667897336395.0,563.49,-82.05,100.04,-255.0,-47.0,-255.0,-63.0,-255.0,-255.0,-255.0,-67.0,-255.0,-66.0,-255.0,-255.0,-69.0,-255.0,-255.0,-73.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-255.0,-255.0,-66.0
1667897336527.0,556.76,-81.47,99.51,-61.0,-48.0,-255.0,-255.0,-255.0,-65.0,-255.0,-255.0,-67.0,-255.0,-255.0,-76.0,-255.0,-255.0,-71.0,-255.0,-255.0,-255.0,-67.0,-255.0,-255.0,-62.0,-255.0,-255.0,-255.0
1667897336663.0,544.46,-85.57,95.03,-53.0,-46.0,-255.0,-63.0,-255.0,-255.0,-66.0,-255.0,-255.0,-255.0,-69.0,-255.0,-255.0,-69.0,-255.0,-255.0,-51.0,-255.0,-255.0,-255.0,-78.0,-255.0,-255.0,-255.0,-69.0
1667897336789.0,529.12,-93.94,93.44,-61.0,-255.0,-255.0,-64.0,-255.0,-255.0,-67.0,-255.0,-255.0,-255.0,-70.0,-255.0,-255.0,-255.0,-73.0,-255.0,-255.0,-72.0,-255.0,-255.0,-74.0,-255.0,-255.0,-255.0,-67.0
1667897336911.0,508.69,-108.26,97.93,-61.0,-255.0,-255.0,-58.0,-255.0,-255.0,-255.0,-66.0,-255.0,-255.0,-255.0,-71.0,-255.0,-255.0,-73.0,-255.0,-255.0,-255.0,-61.0,-255.0,-255.0,-60.0,-255.0,-255.0,-255.0
1667897337028.0,483.67,-123.42,101.36,-62.0,-48.0,-255.0,-255.0,-55.0,-255.0,-255.0,-66.0,-255.0,-255.0,-255.0,-69.0,-255.0,-255.0,-76.0,-255.0,-255.0,-255.0,-58.0,-255.0,-255.0,-255.0,-70.0,-255.0,-255.0
1667897337145.0,464.05,-132.21,101.45,-62.0,-255.0,-54.0,-255.0,-255.0,-255.0,-67.0,-255.0,-255.0,-67.0,-255.0,-255.0,-255.0,-69.0,-255.0,-255.0,-69.0,-255.0,-255.0,-255.0,-75.0,-255.0,-255.0,-63.0,-255.0
1667897337262.0,454.16,-133.09,100.43,-62.0,-255.0,-255.0,-64.0,-255.0,-255.0,-67.0,-255.0,-255.0,-255.0,-69.0,-255.0,-255.0,-66.0,-255.0,-255.0,-255.0,-60.0,-255.0,-255.0,-255.0,-51.0,-255.0,-255.0,-255.0
1667897337378.0,450.12,-131.5,99.6,-62.0,-49.0,-255.0,-255.0,-44.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-60.0,-255.0,-255.0,-70.0,-255.0,-255.0,-255.0,-60.0,-255.0,-255.0,-255.0,-64.0,-255.0,-255.0
1667897337495.0,442.55,-128.93,97.84,-44.0,-49.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-43.0,-255.0,-255.0,-255.0,-70.0,-255.0,-255.0,-255.0,-63.0,-255.0,-255.0,-76.0,-255.0,-255.0,-255.0,-67.0,-255.0
1667897337614.0,426.07,-128.99,94.06,-62.0,-255.0,-71.0,-255.0,-255.0,-67.0,-255.0,-255.0,-255.0,-66.0,-255.0,-255.0,-71.0,-255.0,-255.0,-255.0,-59.0,-255.0,-73.0,-255.0,-255.0,-255.0,-66.0,-255.0,-255.0
1667897337742.0,403.57,-132.3,94.41,-62.0,-50.0,-255.0,-255.0,-58.0,-255.0,-255.0,-65.0,-255.0,-255.0,-255.0,-70.0,-255.0,-255.0,-61.0,-255.0,-255.0,-255.0,-73.0,-255.0,-255.0,-255.0,-66.0,-255.0,-255.0
1667897337863.0,374.64,-137.67,100.52,-62.0,-51.0,-255.0,-255.0,-255.0,-64.0,-255.0,-255.0,-60.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-255.0,-70.0,-255.0,-255.0,-77.0,-255.0,-255.0,-255.0,-68.0,-255.0
1667897337979.0,347.55,-140.94,102.42,-62.0,-255.0,-255.0,-63.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-67.0,-255.0,-255.0,-65.0,-255.0,-255.0,-255.0,-60.0,-255.0,-255.0,-77.0,-255.0,-255.0,-255.0,-68.0
