address,packet_id,rssi,count,rx_speed,tx_speed,last_time_elapsed,total_time_elapsed,timestamp
f0:91:27:6b:7a:0a,1,-29,1,80.00,80.00,202534,80,202534
f0:91:27:6b:7a:0a,2,-31,2,82.00,82.00,84,164,202618
f0:91:27:6b:7a:0a,4,-29,3,107.33,80.50,158,322,202776
f0:91:27:6b:7a:0a,10,-29,4,201.50,80.60,484,806,203260
f0:91:27:6b:7a:0a,11,-30,5,176.80,80.36,78,884,203338
f0:91:27:6b:7a:0a,12,-33,6,160.67,80.33,80,964,203418
f0:91:27:6b:7a:0a,15,-34,7,171.71,80.13,238,1202,203656
f0:91:27:6b:7a:0a,17,-32,8,171.62,80.76,171,1373,203827
f0:91:27:6b:7a:0a,19,-28,9,169.89,80.47,156,1529,203983
f0:91:27:6b:7a:0a,21,-33,10,168.50,80.24,156,1685,204139
f0:91:27:6b:7a:0a,22,-26,11,160.64,80.32,82,1767,204221
f0:91:27:6b:7a:0a,24,-33,12,160.33,80.17,157,1924,204378
f0:91:27:6b:7a:0a,25,-28,13,154.15,80.16,80,2004,204458
f0:91:27:6b:7a:0a,27,-29,14,154.57,80.15,160,2164,204618
f0:91:27:6b:7a:0a,28,-28,15,149.33,80.00,76,2240,204694
f0:91:27:6b:7a:0a,29,-30,16,145.50,80.28,88,2328,204782
f0:91:27:6b:7a:0a,30,-34,17,141.41,80.13,76,2404,204858
f0:91:27:6b:7a:0a,31,-26,18,138.00,80.13,80,2484,204938
f0:91:27:6b:7a:0a,34,-33,19,143.05,79.94,234,2718,205172
f0:91:27:6b:7a:0a,35,-28,20,139.90,79.94,80,2798,205252
f0:91:27:6b:7a:0a,37,-33,21,140.86,79.95,160,2958,205412
f0:91:27:6b:7a:0a,38,-28,22,138.05,79.92,79,3037,205491
f0:91:27:6b:7a:0a,39,-30,23,135.52,79.92,80,3117,205571
f0:91:27:6b:7a:0a,40,-34,24,133.25,79.95,81,3198,205652
f0:91:27:6b:7a:0a,43,-34,25,137.40,79.88,237,3435,205889
f0:91:27:6b:7a:0a,44,-28,26,135.35,79.98,84,3519,205973
f0:91:27:6b:7a:0a,46,-27,27,136.11,79.89,156,3675,206129
f0:91:27:6b:7a:0a,48,-30,28,137.36,80.12,171,3846,206300
f0:91:27:6b:7a:0a,57,-28,29,157.31,80.04,716,4562,207016
f0:91:27:6b:7a:0a,58,-34,30,154.83,80.09,83,4645,207099
f0:91:27:6b:7a:0a,59,-28,31,152.42,80.08,80,4725,207179
